OSM Tags,OSM Values,Constraint Name,Constraint Type
Highway,Primary,Primary Roads,Line
Highway,Secondary,Secondary Roads,Line
Highway,Tertiary ,Roads,Line
Highway,Unclassified,Roads,Line
Highway,Path ,Roads,Line
Highway,Trunk,Roads,Line
Highway,Service,Roads,Line
Highway,Residential,Roads,Line
Highway,Path,Roads,Line
Highway,Track,Roads,Line
Highway,Cycleway,IGNORE,Line
Highway,Footway,IGNORE,Line
Highway,Motorway,Roads,Line
Highway,Motorway Link,Roads,Line
Highway,Lanes,IGNORE,Line
Highway,Trunk Link,Roads,Line
Highway,Primary Link,Primary Roads,Line
Highway,Secondary Link,Secondary Roads,Line
Highway,Tertiary Link,Roads,Line
Highway,Living Street,IGNORE,Line
Highway,Pedastrian,IGNORE,Line
Highway,Escape,IGNORE,Line
Highway,Raceway,IGNORE,Line
Highway,Road,Roads,Line
Highway,Busway,Roads,Line
Highway,Bridleway,IGNORE,Line
Highway,Steps,IGNORE,Line
Highway,Corridor,IGNORE,Line
Highway,Path,Roads,Line
Footway,Sidewalk,IGNORE,Line
Footway,Crossing,Roads,Line
Cycleway,Opposite,Roads,Line
Cycleway,Opposite Lane,Roads,Line
Cycleway,Opposite Track,Roads,Line
Cycleway,Share busway,Roads,Line
Cycleway,Opposite Share busway,Roads,Line
Cycleway,Shared Lane,Roads,Line
Busway,Lane,Roads,Line
Highway,Proposed,IGNORE,Line
Highway,Construction,Roads,Line
Highway,Platform,IGNORE,Line
Highway,Bus Stop ,IGNORE,Point
Highway,Turning Circle ,IGNORE,Point
Highway,Crossing,IGNORE,Point
Highway,Traffic Signal,IGNORE,Point
Highway,Elevator,IGNORE,Point
Highway,Emergency Bay,IGNORE,Point
Highway,Emergency Access Point,IGNORE,Point
Highway,Give way,IGNORE,Point
Highway,Milestone,IGNORE,Point
Highway,Mini Roundabout,IGNORE,Point
Highway,Motorway Junction,IGNORE,Point
Highway,Passing Place,IGNORE,Point
Highway,Platform,IGNORE,Point
Highway,Rest Area,IGNORE,Point
Highway,Speed Camera,IGNORE,Point
Highway,street_lamp,IGNORE,Point
Highway,services,IGNORE,Point
Highway,stop,IGNORE,Point
Highway,traffic_mirror,IGNORE,Point
Highway,traffic_signals,IGNORE,Point
Highway,trailhead,IGNORE,Point
Highway,turning_circle,IGNORE,Point
Highway,toll_gantry,IGNORE,Point
Highway,Turning Loop,IGNORE,Point
Highway,Rest Area,IGNORE,Area
Highway,services,IGNORE,Area
Highway,Platform,IGNORE,Area
admin_level,1,Admin Boundary,Line
admin_level,2,Admin Boundary,Line
admin_level,3,Admin Boundary,Line
admin_level,4,Admin Boundary,Line
admin_level,5,Admin Boundary,Line
admin_level,6,Admin Boundary,Line
admin_level,7,Admin Boundary,Line
admin_level,8,Admin Boundary,Line
admin_level,9,Admin Boundary,Line
admin_level,10,Admin Boundary,Line
admin_level,11,Admin Boundary,Line
Power,Line,Grid,Line
Natural ,Water,Water Area,Area
Natural ,Mud,Natural Features,Area
Natural ,Wood,Forest Area,Area
Natural ,Coastline,Natural Features,Area
Natural ,Bare Rock,Natural Features,Area
